,Date,P1,P2,Result,Score,Set1,Set2,Set3,Set4,Set5,Court_Type,Tournament
5d1722bafd979c6c66c2d54c1e34ad64,06/01/2020,Ebden M. (Aus),Krueger M. (Usa),-1.0,0-2,2-6,4-6,,,,hard,CHALLENGER MEN - SINGLES: Canberra (Australia)
9eefcb427e850875ebece18151a414c1,10/01/2021,Mott B. (Aus),Ymer E. (Swe),-1.0,0-2,4-6,3-6,,,,hard,ATP - SINGLES: Australian Open (Australia) - Qualification
42e9790074929461ecf198fe1626ac56,17/11/2020,Ymer E. (Swe),Tseng C. H. (Tpe),1.0,2-0,7-5,7-6,,,,hard,CHALLENGER MEN - SINGLES: Orlando (USA)
720caa2ec4d87790c14c6b3b1dbf1b41,28/09/2020,Ymer E. (Swe),Marterer M. (Ger),-1.0,0-2,2-6,2-6,,,,clay,CHALLENGER MEN - SINGLES: Split (Croatia)
6a6f7de2f07220659f531660e3e91bc6,22/08/2020,Ymer E. (Swe),Janvier M. (Fra),1.0,2-0,6-3,7-6,,,,clay,CHALLENGER MEN - SINGLES: Prague 2 (Czech Republic)
f6f879a2a83fa9d62697f89fb275d4ec,20/08/2020,Vrbensky M. (Cze),Ymer E. (Swe),1.0,2-1,6-2,3-6,6-4,,,clay,CHALLENGER MEN - SINGLES: Prague (Czech Republic)
013b319fc2cc01603f82b35873bcc8f9,16/08/2020,Ymer E. (Swe),Karlovskiy E. (Rus),1.0,2-0,6-3,6-4,,,,clay,CHALLENGER MEN - SINGLES: Prague (Czech Republic)
8cdb24d5aaacd41e936cd68766987f4a,26/07/2020,Sigsgaard C. (Den),Ymer E. (Swe),-1.0,0-2,6-7,3-6,,,,x,EXHIBITION - MEN: Others matches (World)
11a71fe27f893b25df0f9b74ea6703b1,25/07/2020,Rune H. (Den),Ymer E. (Swe),-1.0,1-2,6-2,4-6,3-6,,,x,EXHIBITION - MEN: Others matches (World)
ac9cdf64c0f5cfbd6385a49864c99ab7,11/03/2020,Ymer E. (Swe),Walkow S. (Pol),1.0,2-0,6-1,7-6,,,,hard,CHALLENGER MEN - SINGLES: Nur-Sultan (Kazakhstan)
0bff7d76f81b51c62e6bc257e48b385b,24/02/2021,Ito T. (Jpn),Manafov V. (Ukr),1.0,2-0,6-4,6-4,,,,hard,CHALLENGER MEN - SINGLES: Nur-Sultan (Kazakhstan)
d20c1c1bf5d0a3e09f3566bec0216e8d,17/01/2021,Escobedo E. (Usa),Ito T. (Jpn),1.0,2-1,6-1,4-6,6-4,,,hard,CHALLENGER MEN - SINGLES: Istanbul (Turkey) - Qualification
9c93efc4927109f7655276f69c9ee96a,26/02/2020,Takahashi Y. (Jpn),Ito T. (Jpn),1.0,2-0,6-3,6-3,,,,hard (indoor),CHALLENGER MEN - SINGLES: Calgary (Canada)
c0c7e2737e41a59aa139c7e667532052,04/02/2020,Descotte M. F. (Arg),Ito T. (Jpn),1.0,2-0,7-6,6-4,,,,hard,CHALLENGER MEN - SINGLES: Launceston (Australia)
8718983c314462adcbc34f4315cd574e,10/01/2020,Sekiguchi S. (Jpn),Ito T. (Jpn),-1.0,1-2,3-6,6-4,4-6,,,hard,ATP - SINGLES: Auckland (New Zealand) - Qualification
7c78252c6f6e3f7419481e0ee7fd8b90,01/02/2021,Lu Y.H. (Tpe),Vukic A. (Aus),-1.0,0-2,4-6,5-7,,,,hard,ATP - SINGLES: Melbourne (Great Ocean Road Open) (Australia)
fdc0e108b78c2dcc27fa8e9cd5affd39,14/10/2020,Vukic A. (Aus),Cervantes I. (Esp),1.0,2-0,6-1,6-1,,,,clay,CHALLENGER MEN - SINGLES: Alicante (Spain)
c6feba2574d0299ea83a3d0e80764012,12/10/2020,Couacaud E. (Fra),Vukic A. (Aus),-1.0,0-2,2-6,1-6,,,,clay,CHALLENGER MEN - SINGLES: Alicante (Spain)
190e184e096e8f00845417db211bc36d,12/08/2020,Vukic A. (Aus),Volonski N. (Aus),1.0,2-0,6-2,6-2,,,,hard,EXHIBITION - MEN: UTR Pro Match Series (World)
bed75ba096434180585db215567448a7,11/08/2020,Vukic A. (Aus),Nkomba B. B. (Aus),1.0,2-0,6-0,6-2,,,,hard,EXHIBITION - MEN: UTR Pro Match Series (World)
761ab6d56a428a68a878d1573c18fe0f,09/08/2020,Vukic A. (Aus),Reid M. (Aus),1.0,2-0,6-2,6-4,,,,hard,EXHIBITION - MEN: UTR Pro Match Series (World)
